************************************************************************
	Comparison between CCIR Data Bank D1 and shipped-D1Comp():
		    ITU Above and Below the MUF
		        2026-09-24 07:15:02
************************************************************************
									Count	diff.		std

frequency group   2 -  5			 4030	-3.0	 9.3
frequency group > 5 - 10			 4004	 1.2	10.5
frequency group >10 - 15			 5270	-0.2	 9.0
frequency group >15 - 30			 2964	 2.6	11.9

distance      0 -   999 km 			 6439	-0.9	 9.3
distance   1000 -  1999 km 			 1144	 3.5	 8.6
distance   2000 -  2999 km 			  151	 1.5	 6.3
distance   3000 -  3999 km 			  975	 4.0	12.5
distance   4000 -  4999 km 			  126	 0.1	 6.9
distance   5000 -  6999 km 			 2785	-1.1	10.6
distance   7000 -  8999 km 			   59	-10.5	12.3
distance   9000 - 11999 km 			 2223	-0.9	11.1
distance  12000 - 14999 km 			  607	 1.0	10.2
distance  15000 - 17999 km 			 1093	 2.0	 8.6
distance  18000 - 21999 km 			    0	 0.0	 0.0
distance  22000 - 40000 km 			  666	-0.9	12.2

geom. lat.    0 - 20 deg. at midpt.	 2806	 1.2	10.4
geom. lat. > 20 - 40 deg. at midpt.	 4158	-3.2	 8.9
geom. lat. > 40 - 60 deg. at midpt.	 7188	 1.2	10.0
geom. lat.      > 60 deg. at midpt.	 2116	 0.3	11.6

sunspot number    0 -  14 			 1333	 0.6	 9.8
sunspot number   15 -  44 			 5229	 1.8	10.3
sunspot number   45 -  74 			 2969	-0.5	 9.7
sunspot number   75 - 104 			 2121	-2.9	 9.5
sunspot number  105 - 149 			 2789	-1.3	10.2
sunspot number      > 149 			 1827	 0.1	11.1

winter								 3915	 0.9	10.7
spring								 4016	 0.3	10.2
summer								 4169	-1.2	10.1
autumn								 4168	-0.1	 9.7

local time > 00 - 04 UTC at midpt.	 2867	 0.9	10.0
local time > 04 - 08 UTC at midpt.	 2280	 3.0	10.6
local time > 08 - 12 UTC at midpt.	 2244	 1.1	 9.3
local time > 12 - 16 UTC at midpt.	 2522	-2.0	11.1
local time > 16 - 20 UTC at midpt.	 3132	-2.5	10.1
local time > 20 - 24 UTC at midpt.	 3223	 0.1	 9.3

origin of data: Germany				10499	 1.6	10.4
origin of data: Japan				 4119	-4.1	 8.6
origin of data: China				  428	 2.1	 8.7
origin of data: India				  182	-3.7	11.9
origin of data: Deutsche Welle		  783	-1.2	10.1
origin of data: BBC/EBU				  161	-2.2	10.0
origin of data: Australia			   96	 0.8	 7.4

all distances < 7000 km 			11620	-0.0	10.0
all distances > 9000 km 			 4589	 0.0	10.7

all distances						16268	-0.1	10.2
 
************************************************************************

************************************************************************
 
 ID Transmitter		Receiver	Frequency	Count	diff.		std
123	WERTACHTAL  	BEIJING    	 15.3		    5	-4.6	 6.2
124	WERTACHTAL  	BEIJING    	 17.8		    4	-6.0	 6.6
125	WERTACHTAL  	BEIJING    	 21.6		    1	-13.0	 0.0
126	ASCENSION   	JOKELA     	  9.7		    1	-7.0	 0.0
127	ASCENSION   	JOKELA     	 11.8		    2	-23.5	 0.5
128	SHEPPARTON  	TRIVANDRUM 	  9.8		   13	-29.8	 3.2
129	MEYERTON    	BOCKHACKEN 	 21.5		    1	 2.0	 0.0
130	MEYERTON    	BOCKHACKEN 	 25.8		   13	-1.5	 2.8
131	TOKYO       	NORDDEICH  	  7.3		   36	 0.4	11.7
132	TOKYO       	NORDDEICH  	 10.0		  267	 0.8	 9.7
133	TOKYO       	NORDDEICH  	 13.6		  368	-0.6	 7.0
134	TOKYO       	NORDDEICH  	 18.2		  237	-3.4	 9.0
135	TOKYO       	NORDDEICH  	 22.8		  119	 0.4	16.8
136	FORT COLLINS	HIRAISO    	 15.0		  307	-9.1	 5.7
137	MEYERTON    	NORDDEICH  	 11.9		   24	-2.8	 4.5
138	MEYERTON    	NORDDEICH  	 17.8		   17	-5.9	 3.9
139	MEYERTON    	NORDDEICH  	 21.5		   12	 5.2	 3.4
140	DAVENTRY    	PANORAMA   	 21.7		    3	-22.0	 1.4
141	MEYERTON    	BALDOCK    	 25.8		    1	-2.0	 0.0
142	MAURITIUS   	LUECHOW    	  8.6		   85	 4.7	 7.9
143	MAURITIUS   	LUECHOW    	 13.0		  460	 2.2	10.5
144	MAURITIUS   	LUECHOW    	 17.0		  110	 4.5	15.5
145	MAURITIUS   	LUECHOW    	 22.6		   47	10.3	 8.2
146	SKELTON     	PANORAMA   	 21.7		    4	-14.2	 1.6
147	QUITO       	JURBISE    	 11.8		    9	-4.2	 7.9
148	QUITO       	BOCKHACKEN 	  9.7		   34	-8.4	13.9
149	DELANO      	BEIJING    	 21.5		   17	-20.4	 6.7
150	SHEPPARTON  	DELHI      	 21.7		   15	-24.5	 3.0
151	QUITO       	JOKELA     	 11.8		    3	-11.7	 6.6
152	WASHINGTON  	HIRAISO    	 15.0		   48	 8.8	 7.7
153	DARWIN      	JOKELA     	  7.1		   19	 3.7	 6.3
154	DARWIN      	JOKELA     	 21.7		    1	-10.0	 0.0
155	CARNARVON   	JOKELA     	 15.4		    8	-0.5	 3.7
156	CARNARVON   	JOKELA     	 17.7		    9	-4.3	 5.5
157	KOGANEI     	SYOWA      	 10.0		  206	-1.4	12.0
158	KOGANEI     	SYOWA      	 15.0		   24	 2.6	 5.4
159	SANWA       	SYOWA      	 10.0		  134	 6.2	 9.3
160	SANWA       	SYOWA      	 15.0		  206	 0.1	 8.5
161	CANBERRA    	LUECHOW    	  5.1		  149	-0.1	 9.4
162	CANBERRA    	LUECHOW    	 11.0		  236	 0.6	 8.7
163	CANBERRA    	LUECHOW    	 13.9		  248	-0.5	 8.0
164	CANBERRA    	LUECHOW    	 19.7		  189	 7.9	 8.7
165	CANBERRA    	NORDDEICH  	  5.1		   64	 1.6	 6.5
166	CANBERRA    	NORDDEICH  	 11.0		  103	 2.8	 5.6
167	CANBERRA    	NORDDEICH  	 13.9		   82	 2.0	 6.1
168	CANBERRA    	NORDDEICH  	 19.7		   22	 4.5	 6.4
169	SHEPPART.LP 	CROWSLEY PK	 11.9		    3	-5.3	 4.6
170	CANBERRA LP 	NORDDEICH  	  5.1		   18	-9.3	29.4
171	CANBERRA LP 	NORDDEICH  	 11.0		   71	 0.4	 9.3
172	CANBERRA LP 	NORDDEICH  	 13.9		   51	 1.9	 9.7
173	CANBERRA LP 	NORDDEICH  	 19.7		    3	 8.7	 4.1
174	SHEPPART.LP 	BOCKHACKEN 	 11.9		    7	-8.0	 8.8
175	CANBERRA LP 	LUECHOW    	  5.1		   25	-13.4	28.4
176	CANBERRA LP 	LUECHOW    	 11.0		  157	-4.7	 8.1
177	CANBERRA LP 	LUECHOW    	 13.9		  172	-1.2	 9.1
178	CANBERRA LP 	LUECHOW    	 19.7		   83	 7.7	10.8
179	SHEPPART.LP 	JOKELA     	 11.9		    7	-8.1	 6.4
180	SANWA LP    	SYOWA      	 10.0		    4	-8.5	 4.2
 
************************************************************************
